moeda,moeda_destino,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 23:41:14,2026-07-28_23-45-29_cambio_usd_brl.json
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 23:41:14,2026-07-28_23-48-17_cambio_usd_brl.json
USD,BRL,5.1244,5.1274,5.1378,5.11786,2026-07-29 08:59:11,2026-07-29_09-10-08_cambio_usd_brl.json
USD,BRL,5.1203,5.1233,5.1378,5.11751,2026-07-29 09:04:58,2026-07-29_09-11-40_cambio_usd_brl.json
USD,BRL,5.1203,5.1233,5.1378,5.11751,2026-07-29 09:04:58,2026-07-29_09-14-20_cambio_usd_brl.json
USD,BRL,5.1187,5.1217,5.1378,5.11386,2026-07-29 09:09:59,2026-07-29_09-18-56_cambio_usd_brl.json
USD,BRL,5.1227,5.1257,5.1378,5.11386,2026-07-29 09:25:18,2026-07-29_09-30-47_cambio_usd_brl.json
USD,BRL,5.1227,5.1257,5.1378,5.11386,2026-07-29 09:25:18,2026-07-29_09-32-11_cambio_usd_brl.json
USD,BRL,5.1224,5.1254,5.1378,5.11386,2026-07-29 09:25:03,2026-07-29_09-33-34_cambio_usd_brl.json
USD,BRL,5.1227,5.1257,5.1378,5.11386,2026-07-29 09:25:18,2026-07-29_09-34-52_cambio_usd_brl.json
USD,BRL,5.12856,5.14056,5.1378,5.11239,2026-07-29 09:30:09,2026-07-29_09-35-31_cambio_usd_brl.json
USD,BRL,5.12856,5.14056,5.1378,5.11239,2026-07-29 09:30:09,2026-07-29_09-36-28_cambio_usd_brl.json
USD,BRL,5.12856,5.14056,5.1378,5.11239,2026-07-29 09:30:09,2026-07-29_09-37-05_cambio_usd_brl.json
USD,BRL,5.1319,5.14391,5.15268,5.11239,2026-07-29 09:30:35,2026-07-29_09-38-31_cambio_usd_brl.json
USD,BRL,5.1319,5.14391,5.15268,5.11239,2026-07-29 09:30:35,2026-07-29_09-39-19_cambio_usd_brl.json
USD,BRL,5.1374,5.1404,5.1555,5.11239,2026-07-29 09:35:28,2026-07-29_09-40-40_cambio_usd_brl.json
